id,org_name,event_name,event_description,event_start_date,event_end_date,days_of_week,start_time,end_time,more_info,fee,admission_price,site_location_name,event_photo,events_category,age_group_eligibility_tags,race_ethnicity_eligibility_tags,special_needs_eligibility_tags,sogi_eligibility_tags,language_eligibility_tags,site_address,site_phone,site_email,featured,latitude,longitude,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
42554_rpd,SF Rec Park,Archery Development - Intermediate/Advanced,"Take    your archery skills to new heights in this 6-week course, designed for adult    archers looking to refine their technique. Through the USA Archery Adult    Achievement Development Program, you’ll explore different bow styles,    including Olympic recurve and bowhunter compound, and test your skills at    varying distances and target sizes. As you reach milestones, you'll earn    achievement pins to mark your progress. USA Archery membership is required    for national recognition.",2026/03/21 12:00:00 AM,2026/05/09 12:00:00 AM,Sa,12:00:00,13:30:00,sfrecpark.org/register,true,,GOLDEN GATE PARK ARCHERY FIELD,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,47th Ave & Fulton St,(415) 831-2700,,,37.771497000001,-122.507766000002,POINT (-122.507766 37.771497),Outer Richmond,1,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
40620_rpd,SF Rec Park,Jr. Warriors Basketball  - Moscone - Kindergarten,"Welcome to our 25th Annual SFRPD All-City Jr. Warriors Youth Basketball League in San Francisco! Our Jr. Warriors League depends on the generosity of volunteers to provide an opportunity for our youth (Kindergarten - 8th Grade) to learn the game of basketball in a recreational, supportive, and safe environment. Each team will have league games (6 or more) and weekly practices. Jr. Warriors League games will be played on Thursdays, Fridays, or Saturdays at different Recreation Centers depending on grade level. If you are interested in becoming a coach/assistant coach, referee, or scorekeeper, you do not need to have a high level of experience in basketball. Our league offers an annual coaching clinic and experienced coaches who are more than happy to provide advice.",2026/01/07 12:00:00 AM,2026/02/25 12:00:00 AM,W,16:30:00,17:30:00,sfrecpark.org/register,true,,MOSCONE REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Toddlers; Children,,,,,1800 Chestnut St @ Buchanan St,(415) 292-2045,,,37.801422000001,-122.433187500002,POINT (-122.4331875 37.801422),Marina,2,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
40923_rpd,SF Rec Park,Basketball,"Shoot some hoops or just improve your 3 point shot. Experience the thrill of competition, the agony of defeat and the joy of friendship. Different recreation centers will have different set ups for game playing.",2026/02/28 12:00:00 AM,2026/03/14 12:00:00 AM,Sa,10:00:00,11:00:00,sfrecpark.org/register,true,,PALEGA REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,500 Felton St @ Holyoke St,(415) 831-6828,,,37.728918000001,-122.409882000002,POINT (-122.409882 37.728918),Portola,9,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
42276_rpd,SF Rec Park,Drop-in: Water Exercise,"Drop-in times can include additional programs and the pool is shared and lanes may vary. For additional questions, please call the pool directly at 628-652-7221. Thursday drop-in is Deep part of pool.",2026/01/05 12:00:00 AM,2026/03/12 12:00:00 AM,TBD,11:30:00,10:30:00,sfrecpark.org/register,true,,GARFIELD SWIMMING POOL,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,All Ages,,,,,1271 Treat St,(415) 695-5001,,,37.749873178722,-122.412712359648,POINT (-122.41271236 37.749873179),Mission,9,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
136876_sfpl,SF Public Library,Storytime: For Babies,Playtime to follow storytime.,2026/02/23 12:00:00 AM,2026/02/23 12:00:00 AM,,10:15:00,10:45:00,https://sfpl.org/events/2026/02/23/storytime-babies-1,false,,Visitacion Valley,https://sfpl.org//sites/default/files/topics/StorytimeforBabies.jpg,Library Events,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,201 Leland Avenue,415-355-2848,vvamgr@sfpl.org,,37.712520000001,-122.407780500002,POINT (-122.4077805 37.71252),Visitacion Valley,10,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
137558_sfpl,SF Public Library,Performance: Destiny Muhammad,"Harpist from the Hood, Destiny Muhammad, shares a Black History story through the sound of African Ancestry, Field Hollers and JAZZ taking listeners…",2026/02/21 12:00:00 AM,2026/02/21 12:00:00 AM,,15:00:00,16:00:00,https://sfpl.org/events/2026/02/21/performance-destiny-muhammad,false,,Visitacion Valley,https://sfpl.org//sites/default/files/2025-12/26136.JPG,Library Events,All Ages,African American,,,,201 Leland Avenue,415-355-2848,vvamgr@sfpl.org,,37.712520000001,-122.407780500002,POINT (-122.4077805 37.71252),Visitacion Valley,10,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
42385_rpd,SF Rec Park,Zumba - Drop-in,There is now a minimal fee for Indoor Zumba. Walk-up outdoor classes are free. Visit sfrecpark.org/zumba for a full list of current class information. Purchase a discounted multi-visit pass at sfrecpark.org/register under Passes & Memberships.,2026/03/18 12:00:00 AM,2026/05/27 12:00:00 AM,W,14:30:00,15:30:00,sfrecpark.org/register,true,,GLEN CANYON REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,All Ages,,,,,70 Elk St,(415) 337-4705,,,37.736199000001,-122.440045500002,POINT (-122.4400455 37.736199),Glen Park,8,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
40780_rpd,SF Rec Park,Archery - Indoor Target League,"A mixed    format indoor archery league (Adults 20yds, Youth 10yds). The league is a    great way to learn how to score with other archers of all ages, skill levels    & bow styles. Bow categories are: Olympic Recurve, Barebow Recurve,    Traditional, Compound Freestyle, and Compound Bowhunter. While usage of your    own equipment is recommended, barebow recurve & barebow compound    equipment is available for league use. League schedule is comprised of a    5-week season, followed by a finals competition. Awards will be given at    season's end. Please contact joe.arnaldo@sfgov.org for more information.",2026/01/21 12:00:00 AM,2026/03/11 12:00:00 AM,W,18:15:00,20:15:00,sfrecpark.org/register,true,,RICHMOND REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,251 - 18th Ave,(415) 666-7020,,,37.783215000001,-122.477976000002,POINT (-122.477976 37.783215),Outer Richmond,1,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
42331_rpd,SF Rec Park,Level 1,"This class is designed to orient participants to the aquatic environment and to help them gain basic aquatic skills. In addition, participants start learning about how to be safe around water. Children must be 48 to participate.          Registration is limited to one class per participant.",2026/03/18 12:00:00 AM,2026/05/20 12:00:00 AM,W,17:00:00,17:30:00,sfrecpark.org/register,true,,BALBOA SWIMMING POOL,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens; Teens; TAY,,,,,51 Havelock Ave,(415) 337-4701,,,37.726730858996,-122.442626256383,POINT (-122.442626256 37.726730859),Outer Mission,11,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
112180_sfpl,SF Public Library,Storytime: For Toddlers,"Books, songs, movement and more. For toddlers 16 months through age 2 and their caregivers.&nbsp;  Learn more about storytimes with SFPL, including…",2026/02/24 12:00:00 AM,2026/02/24 12:00:00 AM,,10:30:00,11:00:00,https://sfpl.org/events/2026/02/24/storytime-toddlers-1,false,,Sunset,https://sfpl.org//sites/default/files/topics/StorytimeforToddlers.jpg,Library Events,"Toddlers (Ages 1-3), Pre-School (Ages 3-5)",,,,,1305 18th Avenue,415-355-2808,sunmgr@sfpl.org,,37.763370000001,-122.476257000002,POINT (-122.476257 37.76337),Inner Sunset,7,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
137276_sfpl,SF Public Library,Social: Plant Swap,"Bring your cuttings, seedlings,&nbsp;surplus harvest or plants that need a new home to swap with other gardeners. All types of plants welcome—please…",2026/02/14 12:00:00 AM,2026/02/14 12:00:00 AM,,10:30:00,11:30:00,https://sfpl.org/events/2026/02/14/social-plant-swap,false,,Ingleside,https://sfpl.org//sites/default/files/topics/Gardening.jpg,Library Events,TAY (Ages 18-24),,,,,1298 Ocean Avenue,415-355-2898,ingmgr@sfpl.org,,37.724058000001,-122.456290500002,POINT (-122.4562905 37.724058),West of Twin Peaks,7,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
41231_rpd,SF Rec Park,Womens Adult Volleyball - Advanced League,Teams will    be created from the list of registrants. For more information please contact    Don Franklin at don.franklin@sfgov.org.,2026/01/13 12:00:00 AM,2026/03/03 12:00:00 AM,T,18:30:00,21:00:00,sfrecpark.org/register,true,,SUNSET REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,2201 Lawton St @ 29th Ave,(415) 242-1070,,,37.757223000001,-122.486683500002,POINT (-122.4866835 37.757223),Sunset/Parkside,4,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
132840_sfpl,SF Public Library,Activity: LEGO Free Play,"Let your imagination go wild with LEGO. We provide all the pieces you'll need to create vehicles, buildings and more. For ages 5 and older.",2026/03/11 12:00:00 AM,2026/03/11 12:00:00 AM,,14:00:00,15:00:00,https://sfpl.org/events/2026/03/11/activity-lego-free-play,false,,Presidio,https://sfpl.org//sites/default/files/2025-09/24583.jpg,Library Events,Children/Pre-Teens (Ages 5-13),,,,,3150 Sacramento Street,415-355-2880,premgr@sfpl.org,,37.788822000001,-122.444865000002,POINT (-122.444865 37.788822),Pacific Heights,2,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
148756_sfpl,SF Public Library,Social: Knitting Circle,"Bring your own knitting, crochet, weaving or other fiber-art project to share and work on&nbsp;in a fun and friendly atmosphere. No instructors…",2026/02/18 12:00:00 AM,2026/02/18 12:00:00 AM,,15:00:00,17:00:00,https://sfpl.org/events/2026/02/18/social-knitting-circle,false,,Ocean View,https://sfpl.org//sites/default/files/2026-01/27109.png,Library Events,"All Ages, TAY (Ages 18-24)",,,,,345 Randolph Street,415-355-5615,ovimgr@sfpl.org,,37.714140000001,-122.465974500002,POINT (-122.4659745 37.71414),Oceanview/Merced/Ingleside,11,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
42160_rpd,SF Rec Park,Drop-in: Mah-jong,,2026/03/20 12:00:00 AM,2026/05/29 12:00:00 AM,F,10:00:00,13:00:00,sfrecpark.org/register,false,,BETTY ANN ONG CHINESE REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,1199 Mason St @ Washington St,(415) 359-9103,,,37.794294000001,-122.411466000002,POINT (-122.411466 37.794294),Nob Hill,3,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
150700_sfpl,SF Public Library,Services: SF County&#039;s Safe Medication Disposal,SF County's Safe Medication Disposal program will be tabling from 2pm to 5pm in the Courtyard.&nbsp;,2026/03/01 12:00:00 AM,2026/03/01 12:00:00 AM,,14:00:00,17:00:00,https://sfpl.org/events/2026/03/01/services-sf-countys-safe-medication-disposal,false,,West Portal,https://sfpl.org//sites/default/files/topics/HealthWellness.jpg,Library Events,TAY (Ages 18-24),,,,,190 Lenox Way,415-355-2886,wpomgr@sfpl.org,,37.741365000001,-122.466163500002,POINT (-122.4661635 37.741365),West of Twin Peaks,7,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
145985_sfpl,SF Public Library,Author: Felwine Sarr,Centered on&nbsp;Felwine&nbsp;Sarr’s&nbsp;Dahij—soon to be released in English for the first time by a new Seattle-based Francophone publisher—this…,2026/03/10 12:00:00 AM,2026/03/10 12:00:00 AM,,18:00:00,19:30:00,https://sfpl.org/events/2026/03/10/author-felwine-sarr,false,,Main Library,https://sfpl.org//sites/default/files/topics/MTaM_2026_webBanner.jpg,Library Events,TAY (Ages 18-24),African American,,,,100 Larkin Street,415-557-4400,info@sfpl.org,,37.779354000001,-122.415871500002,POINT (-122.4158715 37.779354),Tenderloin,5,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
149894_sfpl,SF Public Library,Activity: Turkish Story Hour,"Enjoy lively read alouds of children’s picture books in Turkish followed by interactive activities including singing, movement games, and crafts that…",2026/02/14 12:00:00 AM,2026/02/14 12:00:00 AM,,14:00:00,15:30:00,https://sfpl.org/events/2026/02/14/activity-turkish-story-hour,false,,Potrero,https://sfpl.org//sites/default/files/2026-02/27591.png,Library Events,"Toddlers (Ages 1-3), Pre-School (Ages 3-5), Children/Pre-Teens (Ages 5-13)",,,,,1616 20th Street,415-355-2822,potmgr@sfpl.org,,37.760067000001,-122.397615000002,POINT (-122.397615 37.760067),Potrero Hill,10,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
10013210_sfdec,Compass Family Services,"Play &#038; Learn/ Jugar y aprender (Playgroup, Spanish and English)","Play &amp; Learn / Jugar y aprender Join us for a fun and engaging group where caregivers learn how to play with their children in ways that support key developmental stages and milestones. Through hands-on activities, guided play, and expert tips, you&#8217;ll discover how everyday moments can become powerful opportunities for learning and connection. Perfect for parents and caregivers of young children looking to build skills, confidence, and joyful bonds. Únase a nosotros en un grupo divertido y atractivo en el que los cuidadores aprenden a jugar con sus hijos de formas que favorecen las etapas y los hitos clave del desarrollo. A través de actividades prácticas, juegos guiados y consejos de expertos, descubrirá cómo los momentos cotidianos pueden convertirse en poderosas oportunidades para el aprendizaje y la conexión. Perfecto para padres y cuidadores de niños pequeños que desean desarrollar habilidades, confianza y vínculos afectivos.   0-18 months Play group / Grupo de juego para niños de 0 a 18 meses Dates/ day(s): Tuesday / Fechas/días: Martes. Frequency: Ongoing Time: 10 – 11:30 am / Horario: De 10:00 a 11:30 a. m. Location/ Dirección: 37 Grove St, SF 94102 Contact person/ Persona de contacto: Francisco Ferrer, (415)644-0504X2331, fferrer@compass-sf.org Language: Spanish and English / Idioma: español e inglés  &nbsp; &nbsp;",2026/02/24 12:00:00 AM,2026/02/24 12:00:00 AM,,10:00:00,11:30:00,https://sfdec.org/event/play-learn-jugar-y-aprender-playgroup-spanish-and-english/2026-02-24/,,,37 Grove Street,,Events for Ages 0-5,,,,,Spanish,37 Grove Street,(415) 644-0504,info@compass-sf.org,,37.778616000001,-122.415970500002,POINT (-122.4159705 37.778616),Tenderloin,6,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
10013655_sfdec,Gum Moon Chinatown,"Parent-Child Interactive Group Infants (Playgroup, Cantonese/English)","0-18 months Playgroup Dates: August 21, 2025 – June 30, 2026, Tuesday and Thursday Time: 10:00 AM – 12:00 PM For more information, please contact: Vivian Chan, Admin. Manager 415-788-1008 vivianchan@gummoon.org Lucy Tao, Family Advocate 415-788-1008 lucytao@gummoon.org Address: 940 Washington Street",2026/03/03 12:00:00 AM,2026/03/03 12:00:00 AM,,10:00:00,12:00:00,https://sfdec.org/event/parent-child-interactive-group-infants-playgroup-cantonese-english-2/2026-03-03/,,,940 Washington Street,,Events for Ages 0-5,Infants,,,,Chinese,940 Washington Street,415-788-1008,vivianchan@gummoon.org,,37.795032000001,-122.408770500002,POINT (-122.4087705 37.795032),Chinatown,3,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
146214_sfpl,SF Public Library,Workshop: STEM Fun,"Learn STEM concepts through exciting and educational science, engineering and robotics activities. Be empowered with hands-on tools to spark…",2026/02/24 12:00:00 AM,2026/02/24 12:00:00 AM,,16:00:00,17:00:00,https://sfpl.org/events/2026/02/24/workshop-stem-fun,false,,Main Library,https://sfpl.org//sites/default/files/topics/Science.jpg,Library Events,"Children/Pre-Teens (Ages 5-13), Children/Pre-Teens (Ages 5-13), Teens (Ages 13-18)",,,,,100 Larkin Street,415-557-4400,info@sfpl.org,,37.779354000001,-122.415871500002,POINT (-122.4158715 37.779354),Tenderloin,5,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
138008_sfpl,SF Public Library,Activity: Art Studio,"Make&nbsp;the Library more unique and beautiful with art–centered, constructive volunteerism.&nbsp;For ages 13–18.",2026/02/26 12:00:00 AM,2026/02/26 12:00:00 AM,,17:00:00,18:00:00,https://sfpl.org/events/2026/02/26/activity-art-studio,false,,Merced,https://sfpl.org//sites/default/files/topics/MakeDo.png,Library Events,Teens (Ages 13-18),,,,,155 Winston Drive,415-355-2825,mermgr@sfpl.org,,37.726713000001,-122.474461500002,POINT (-122.4744615 37.726713),West of Twin Peaks,7,2026/02/14 12:00:00 AM,2026/02/14 07:06:56 AM
